受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
Q2726006053,2026-05-06,2026-05-08,&#23425;波日恒&#36827;出口有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y5638ZR ,アップリケ刺繍,N0用、N9用,しまむら,合格,,,
Q2726006054,2026-05-06,2026-05-08,&#23425;波日恒&#36827;出口有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y6630ZR ,TC天竺裏地,03,しまむら,合格,,,
Q2726006035,2026-05-06,2026-05-08,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9T620HR ,生地,N9,しまむら,合格,,,
Q2726006043,2026-05-06,2026-05-09,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,R563FPZ ,半袖T,03ピンク製品、13アイボリー製品、35イエロー製品、67ネイビー製品、67ネイビーリブ,しまむら,合格,合格,,
Q2726005846,2026-04-30,2026-05-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,66647ER/66648JR/66649ER/66649JR/666469R ,パジャマ,57-5、63-1、67A、N4-2、N4-4、N7C、N9,しまむら,合格,,,
61026009474,2026-04-30,2026-05-07,如皋帝晨服&#39280;有限公司,岡山,,伊藤,216348A ,,67ネイビーリブ、N9ブラックリブ、製品,しまむら,合格,合格,,
Q2726005843,2026-04-30,2026-05-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,66648JR ,パジャマ,67本体、67製品、67リブ、白シックテープ,しまむら,合格,合格,,
Q2726005847,2026-04-30,2026-05-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,666469R ,パジャマ,67本体、67製品、67リブ,しまむら,合格,合格,,
61026009415,2026-04-30,2026-05-07,祥安服装如&#19996;有限公司,岡山,,平松,BW624CR ,2PフライスBB,N9ブラック/N8クロ本体、製品、カーキゴム、グレーゴム,しまむら,合格,合格,,
61026009405,2026-04-30,2026-05-07,祥安服装如&#19996;有限公司,岡山,,平松,WW633CR ,2PブロードTR,製品67ネイビー、製品N9ブラック,しまむら,,合格,,
61026009435,2026-04-30,2026-05-07,祥安服装如&#19996;有限公司,岡山,,平松,BW6E5SR ,男児リーボック2Pボクサー,67ネイビー本体、N9ブラック本体、製品67ネイビー、製品N9ブラック、グレーゴム、レッドゴム,しまむら,,合格,,
61026009469,2026-04-30,2026-05-07,祥安服装如&#19996;有限公司,岡山,,平松,WW634CR ,2PブロードTR,03ピンク、52ターコ,しまむら,,合格,,
61026009467,2026-04-30,2026-05-07,祥安服装如&#19996;有限公司,岡山,,平松,BW623CR ,,N7チャコール、N9ブラック、チャコール本体、ブラック本体、ブルーゴム、レッドゴム,しまむら,合格,合格,,
61026009441,2026-04-30,2026-05-07,祥安服装如&#19996;有限公司,岡山,,平松,BW6E4SR ,男児リーボック2Pボクサー,67ネイビー、67ネイビー本体、N9ブラック、N9ブラック本体、エメグリーンゴム、ネイビーゴム,しまむら,合格,合格,,
Q2726005866,2026-04-30,2026-05-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5639MA ,紳士シャツ,N9A製品、白刺繍、黄刺繍、黒刺繍、黒本体、黒リブ,しまむら,合格,合格,,
