受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
Q2726002528,2026-02-24,2026-02-26,大?程?国&#38469;&#36152;易有限公司（帛来）,婦人ナイティー,,婦人ナイティー,386401R ,パジャマ,55,しまむら,合格,,,
Q2726002531,2026-02-24,2026-02-26,山&#19996;省&#28493;坊市&#36827;出口有限公司,子供ナイティー,,子供ナイティー,7663DJR ,パジャマ,03身生地、03リブ,しまむら,合格,,,
Q2726002530,2026-02-24,2026-02-25,山&#19996;省&#28493;坊市&#36827;出口有限公司,子供ナイティー,,子供ナイティー,6663DJR ,パジャマ,63身生地、63リブ,しまむら,合格,,,
61026004347,2026-02-24,2026-02-26,如皋帝晨服&#39280;有限公司,岡山,,伊藤,21631CA ,パジャマ,N9ブラック本体、N9ブラックリブ、製品、ブラック背首テープ、ブラックスピンドル紐,しまむら,合格,合格,,
61026004340,2026-02-14,2026-02-26,祥安服装如&#19996;有限公司,岡山,,平松,TH611SR ,リーボックEベアハイネック長袖,B:N9ブラック別布、B:N9ブラック本体、製品,しまむら,合格,合格,,
Q2726002777,2026-02-13,2026-02-25,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A4632RR/A5633RR ,ReebokスピードドライロングP/Reebokスピードドライ半袖T,67、N0、N9,しまむら,合格,,,
Q2726002775,2026-02-13,2026-02-25,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,Z5630ZR ,紳士シャツ,N9製品、黒刺繍、ピンク×白刺繍、ブルー×紺刺繍,しまむら,合格,合格,,
Q2726002767,2026-02-13,2026-02-25,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,F5630UR ,Tシャツ,N0ホワイト
リブ、N0ホワイト本体、N0ホワイト製品,しまむら,,合格,,
61026004253,2026-02-13,2026-03-03,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5G6C2QZ ,,A-1 N9ブラック、A-1 N9ブラック本体、A-2 57カーキ、A-2 57カーキ本体、A-3 N7グレー杢、A-3 N7グレー杢本体、B-1 N0ホワイト、B-1 N0ホワイト本体、B-2 N9ブラック、B-2 N9ブラック本体、B-3 13アイボリー、B-3 13アイボリー本体、黒刺繍☆、シロ刺繍(A-1 N9ブラック/B-2 N9ブラック),しまむら,合格,合格,,
Q2726002590,2026-02-13,2026-02-25,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5634ER ,シャツ,N0,しまむら,,合格,,
Q2726002761,2026-02-13,2026-02-25,青&#23707;裕?佳商&#36152;有限公司,ライフグッズ,,ライフグッズ,1A605BB ,生地,67本体、67裏側、N9
パイピング+
裏側、N9本体、ピンク
パイピング,しまむら,合格,,,
Q2726002779,2026-02-13,2026-02-25,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A5634ZR/A5635ZR/A5632ZR/A4620ZR/A4621ZR/A5632RR/A4620VR/A5620VR/A6620VR ,テディベア胸刺半袖T/テディベアプリント半袖T/RBバックプリント半袖T/PERSONSパンツ/PERSONS　Tシャツ/PERSONSジップパーカ,03、03リブ、33、65、67、67リブ、N0、N0リブ、N7、N9、N9リブ,しまむら,合格,,,
Q2726002557,2026-02-13,2026-02-25,&#35832;城方利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9N626HR ,カップ付きタンクトップ,03、10、N9,しまむら,,合格,,
Q2726002780,2026-02-13,2026-02-25,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A5634RR ,半袖Tシャツ,10、N9,しまむら,合格,,,
61526004295,2026-02-13,2026-02-25,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E2630EZ ,丸首半袖T+ハーフパンツ,N9A ブラックA本体、N9A ブラックAリブ、製品N9A ブラックA,しまむら,合格,合格,,
61526004287,2026-02-13,2026-02-25,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E2630AZ ,,82ラベンダー、ブラック本体(下衣),しまむら,合格,合格,,
Q2726002495,2026-02-13,2026-02-25,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9N62CRR ,カップ付きタンクトップ,N3製品、N9本体、N9製品、黒カップ、黒ゴム、グレーゴム,しまむら,合格,合格,,
61526004298,2026-02-13,2026-02-25,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E2631AZ ,Tシャツ+ショートパンツ,N9ブラック本体、N9ブラックリブ、製品、ブラック刺繍、ブルー刺繍,しまむら,合格,合格,,
Q2726002550,2026-02-13,2026-02-25,青&#23707;裕?佳商&#36152;有限公司,ライフグッズ,,ライフグッズ,1A605BB ,シートベルトパッド,67、N9,しまむら,,合格,,
Q2726002548,2026-02-13,2026-02-25,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9L628RR ,ハーフトップ+ショーツ,N7ショーツ、N7ハーフトップ、N9ショーツ、N9ハーフトップ、黒×オフ
ゴム、黒本体、グレークロッチ　,しまむら,合格,合格,,
61526004300,2026-02-13,2026-02-25,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E2630UR ,半袖Tシャツ+ショートパンツ,03ピンク,しまむら,,合格,,
Q2726002697,2026-02-12,2026-02-13,青&#23707;伊美瑛国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y4620UR ,パンツ,63サックス製品、白シックテープ,しまむら,,合格,,
61026004203,2026-02-12,2026-02-24,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木
,5G6A68R ,,05レッド(A-3)、05レッド(A-3)/05レッド(B-3)刺繍、05レッド(A-3)本体、05レッド(B-3)、05レッド(B-3)本体、55グリーン(A-1)、55グリーン(A-1)/67ネイビー(B-2)刺繍、55グリーン(A-1)本体、65ブルー(B-1)、65ブルー(B-1)本体、67ネイビー(B-2)、67ネイビー(B-2)本体、83パープル(A-2)、83パープル(A-2)/65ブルー(B-1)刺繍、83パープル(A-2)本体,しまむら,合格,合格,,
61026004199,2026-02-12,2026-02-24,祥安服装如&#19996;有限公司,岡山,,平松,BW6E2SR ,男児リーボック2Pボクサー,N7チャコール本体、N9ブラック本体、製品N7チャコール、製品N9ブラック、ブルーゴム、レッドゴム,しまむら,合格,合格,,
61026004196,2026-02-12,2026-02-24,如皋帝晨服&#39280;有限公司,岡山,,伊藤,28632EA/GNE-697P/GNE-697M ,,N9ブラック柄、N9ブラック無地,しまむら,合格,,,
61026004212,2026-02-12,2026-02-24,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5G6B48Z ,マインクラフト 男児ショート丈ソックス3P,A-1 55グリーン、A-2 83パープル、A-3 52ターコ,しまむら,合格,合格,,
61026004214,2026-02-12,2026-02-24,&#19996;莞市三越帽袋有限公司,岡山,,高木,1C617ER ,,65ブルー、ブラックテープ,しまむら,合格,合格,,
61026004194,2026-02-12,2026-02-24,如皋帝晨服&#39280;有限公司,岡山,,伊藤,28631EA/GNE-696 ,生地(パジャマ),57カーキ,しまむら,合格,,,
61526004055,2026-02-12,2026-02-13,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田 ,C5630RA ,半袖Tシャツ,N9ブラック本体、N9ブラックリブ、製品:N9ブラック、ブラック刺繍、ホワイト刺繍,しまむら,合格,合格,,
61526004057,2026-02-12,2026-02-13,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田 ,C5632RA ,半袖Tシャツ,N9ブラック本体、N9ブラックリブ、製品:N9ブラック、ブラック刺繍、ホワイト刺繍,しまむら,合格,合格,,
61526004059,2026-02-12,2026-02-13,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田 ,C5631RA ,半袖Tシャツ,N9ブラック本体、N9ブラックリブ、製品N9ブラック、ブラック刺繍、ホワイト刺繍,しまむら,合格,合格,,
61026004220,2026-02-12,2026-02-24,祥安服装如&#19996;有限公司,岡山,,平松,BW6E3SR ,,67ネイビー、67ネイビー本体、N9ブラック、N9ブラック本体、グレーゴム、ブラックゴム,しまむら,合格,合格,,
61026004192,2026-02-12,2026-02-24,如皋帝晨服&#39280;有限公司,岡山,,伊藤,21631CA/21631NA/GNE-695M/GNE-695R ,,67ネイビー、N9ブラック、N9ブラックリブ,しまむら,合格,,,
Q2726002740,2026-02-12,2026-02-24,&#35832;城方利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9M62EHR ,タンクトップ,14製品、55製品、N7製品、N7身生地,しまむら,合格,合格,,
Q2726002739,2026-02-12,2026-02-24,大?程?国&#38469;&#36152;易有限公司（帛来）,婦人ナイティー,,婦人ナイティー,386421R/386461R/386411R/386401R/386441R/386451R/306350R/306370R/316300R ,パジャマ,09、63
、63,しまむら,合格,,,
Q2726002742,2026-02-12,2026-02-24,&#35832;城方利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9M62DHR ,キャミソール,10製品、14製品、N9製品、N9身生地,しまむら,合格,合格,,
Q2726002744,2026-02-12,2026-02-25,&#35832;城方利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9N625HR ,カップ付きキャミソール,10オフホワイト、N9ブラック,しまむら,,合格,,
Q2726002737,2026-02-12,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),婦人ナイティー,,婦人ナイティー,85603HR ,エプロン,N9本体、N9製品,しまむら,合格,合格,,
61026004137,2026-02-11,2026-02-13,南通?川服飾有限公司,,,,G5637DR ,半袖Tシャツ,2002C(120C)イエロー刺繍糸、217Cピンク刺繍糸、4060Cレッド刺繍糸、420Cグレー刺繍糸、501C白刺繍糸、7Cクロ刺繍糸、YKK501白刺繍糸、YKK580クロ刺繍糸、製品、クロ刺繍糸,しまむら,合格,合格,,
61526004209,2026-02-11,2026-02-13,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5630UR ,丸首半袖T,10オフホワイト、10オフホワイト本体、10オフホワイトリブ、N8クロ、N8クロ本体、N8クロリブ,しまむら,合格,合格,,
Q2726002660,2026-02-11,2026-02-28,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,F5636UR ,T SHIRT,55,しまむら,,合格,,
Q2726002584,2026-02-11,2026-02-13,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5630BR/C5631BR/C5630HR/C5631HR ,Tシャツ,55本体、55リブ、66(18-4711TPX)本体、66(18-4711TPX)リブ、66(536C)
リブ、66(536C)本体、N8本体、N8リブ,しまむら,合格,,,
61026004145,2026-02-11,2026-02-13,祥安服装如&#19996;有限公司,岡山,,平松,BW6D1CR ,,N7チャコール本体、N9ブラック本体、製品、ネイビーゴム(N7チャコール)、ブラックゴム(N9ブラック),しまむら,合格,合格,,
61026004136,2026-02-11,2026-02-13,南通?川服飾有限公司,,,,G5635DR/G5636DR/G5637DR/F5635MR/F4630MR ,糸(半袖Tシャツ/パンツ/ジップジャケット),2002C(120C)イエロー、217Cピンク、2336Cチャコール、236Cピンク、2468C淡茶、420Cグレー、424Cグレー、4272Cベージュ、4273Cチャコール、439C茶、4735Cベージュ、501C白、661Cブルー、7Cクロ、Black3Cクロ、YKK501白、YKK580クロ、白、クロ、グリーン、グレー、サックス、チャ、ブルー、ベージュ、レッド4060C,しまむら,合格,,,
61026004027,2026-02-11,2026-02-13,如皋帝晨服&#39280;有限公司,岡山,,,6663X3R ,,製品、イエロー背首テープ、ネイビー本体、ネイビーリブ,しまむら,合格,合格,,
61026004115,2026-02-11,2026-02-13,上海昊客商&#36152;有限公司,,,?山,RT633MZ ,ロンパース,N2オートミール,しまむら,,合格,,
61026003812,2026-02-11,2026-02-13,如皋帝晨服&#39280;有限公司,岡山,,,6663W3R ,,N9ブラック本体、N9ブラックリブ部分、製品:N9ブラック、レッド背首テープ,しまむら,合格,合格,,
Q2726002542,2026-02-11,2026-02-13,高密市?&#21326;美制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9K620VR ,成型リブハーフトップ,82、N9,しまむら,,合格,,
61026004151,2026-02-11,2026-02-13,如皋帝晨服&#39280;有限公司,岡山,,,66622AR ,パジャマ,製品83パープル、製品N3グレー、グレー本体、ブラック本体、ブラックリブ,しまむら,合格,合格,,
Q2726002493,2026-02-11,2026-02-13,高密市?&#21326;美制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9G621VR ,成型リブショーツ,82、N9,しまむら,,合格,,
Q2726002738,2026-02-11,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),婦人ナイティー,,婦人ナイティー,85602HR ,エプロン,55製品、黒本体,しまむら,合格,合格,,
Q2726002664,2026-02-11,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5633ER ,Tシャツ,N9製品、白刺繍、黒刺繍,しまむら,合格,合格,,
61526004198,2026-02-11,2026-02-13,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5633DR ,半袖Tシャツ,製品,しまむら,,合格,,
61526004202,2026-02-11,2026-02-13,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,,X4631MA  X5631MA ,,15ブラウンDRYメッシュ、67ネイビー1×1フライスリブ、67ネイビーDRYメッシュ、N9ブラック1×1フライスリブ、N9ブラックDRYメッシュ,しまむら,合格,,,
Q2726002511,2026-02-10,2026-02-24,&#35832;城和&#35802;服装&#38024;&#32455;有限公司,紳士ナイティー,,紳士ナイティー,226219R ,紳士パジャマ,67本体、67製品、白シックテープ、グレー
バイヤステープ,しまむら,合格,合格,,
Q2726002585,2026-02-10,2026-02-12,高密市?&#21326;美制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9L620UR ,生地,03本体、03裏地、03足口ゴム、03テープ、67本体、67裏地、67足口ゴム、67テープ、N9本体、N9裏地、N9足口ゴム、N9テープ、アイボリーウエスト,しまむら,合格,,,
Q2726002600,2026-02-10,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5632ER ,紳士シャツ,N9,しまむら,,合格,,
Q2726002628,2026-02-10,2026-02-25,大?程?国&#38469;&#36152;易有限公司（帛来）,婦人ナイティー,,婦人ナイティー,40634LA ,パジャマ,03本体、03製品、白シックテープ,しまむら,合格,合格,,
Q2726002598,2026-02-10,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5631ER ,Tシャツ,66,しまむら,,合格,,
Q2726002586,2026-02-10,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,F5631CZ ,Tシャツ,03、05,しまむら,,合格,,
Q2726002588,2026-02-10,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),レディ－スカジュアル,,レディ-スカジュアル,A5635RR ,婦人シャツ,白
パイピング、白製品、白リブ、黒刺繍、黒本体、黒パイピング、黒リブ、グレーテープ、チャコール刺繍、ピンク
パイピング、ピンクリブ,しまむら,合格,合格,,
Q2726002592,2026-02-10,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,F4633CZ ,パンツ,03ピンク製品、N3グレー製品、N9ブラック本体、N9ブラック製品、生成
シックテープ,しまむら,合格,合格,,
Q2726001939,2026-02-10,2026-02-12,青&#23707;&#21326;杉&#36152;易有限公司,ジーンズカジュアル,,ジーンズカジュアル,DM6362R(RB036-1) ,メンズパンツ,N9ブラック,しまむら,,合格,,
61526004044,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,G5632WR ,Tシャツ,N9ブラック天竺、N9ブラックリブ、製品,しまむら,合格,合格,,
61526004046,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5631UR ,丸首半袖T,N8クロ本体、N8クロリブ、製品,しまむら,合格,合格,,
61526004039,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5630YR ,,製品,しまむら,,合格,,
61526004051,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E2630DR ,,63サックス、82ラベンダー,しまむら,,合格,,
61526004071,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,RT632QZ ,,14ベージュ、39マスタード、67ネイビー、N3グレー,しまむら,,合格,,
61526004107,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5631WZ ,丸首半袖T,N9ブラック天竺、N9ブラックリブ、製品,しまむら,合格,合格,,
Q2726002333,2026-02-10,2026-02-13,&#28493;坊瑞思百&#24503;&#36827;出口有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y6630MA ,ポロシャツ,67製品、白刺繍、黄刺繍、ブルー刺繍,しまむら,合格,合格,,
61026003875,2026-02-10,2026-02-12,祥安服装如&#19996;有限公司,岡山,,平松,BW6D18Z ,,67ネイビー、67ネイビー本体、N3グレー,しまむら,,合格,,
61026003877,2026-02-10,2026-02-12,南通?川服飾有限公司,,,,G5631DR ,半袖Tシャツ,製品,しまむら,,合格,,
61026004013,2026-02-10,2026-02-13,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5K6A48Z ,,03ピンク(B)、03ピンク(B)刺繍、03ピンク(B)本体、05レッド(A)、05レッド(A)刺繍、05レッド(A)本体、N3グレー(C)、N3グレー(C)刺繍、N3グレー(C)本体,しまむら,合格,合格,,
61026004005,2026-02-10,2026-02-13,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5K6A38Z ,,55グリーン(B)、83パープル(C)、N9ブラック(A),しまむら,合格,合格,,
Q2726001937,2026-02-10,2026-02-12,青&#23707;&#21326;杉&#36152;易有限公司,ジーンズカジュアル,,ジーンズカジュアル,DM6360R(KS210390-1) ,メンズパンツ,N9ブラック本体、N9ブラック製品,しまむら,合格,合格,,
61026004017,2026-02-10,2026-02-13,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5K63A8Q ,,03ピンク(C)、03ピンク(C)刺繍、03ピンク(C)本体、05レッド(D)、05レッド(D)刺繍、05レッド(D)本体、15ブラウン(F)、15ブラウン(F)刺繍、15ブラウン(F)本体、35イエロー(B)、35イエロー(B)刺繍、35イエロー(B)本体、63サックス(E)、63サックス(E)刺繍、63サックス(E)本体、83パープル(G)、83パープル(G)刺繍、83パープル(G)本体、N0ホワイト(A)、N0ホワイト(A)刺繍、N0ホワイト(A)本体,しまむら,合格,合格,,
Q2726001902,2026-02-10,2026-02-12,青&#23707;&#21326;杉&#36152;易有限公司,ジーンズカジュアル,,ジーンズカジュアル,DM6361R(KCA13036) ,メンズパンツ,N9ブラック製品,しまむら,,合格,,
61026004003,2026-02-10,2026-02-13,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5G6A58R ,,A-1 55グリーン、A-2 83パープル、A-3 N3グレー,しまむら,合格,合格,,
61026004001,2026-02-10,2026-02-13,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5K6D6EZ ,MLB 男児スケーター風ソックス1P,A 65ブルー、A 65ブルー刺繍、A 65ブルー本体、B 67ネイビー、B 67ネイビー刺繍、B 67ネイビー本体、C 35イエロー、C 35イエロー刺繍、C 35イエロー本体,しまむら,合格,合格,,
61026003928,2026-02-10,2026-02-13,嘉?市?仁&#38024;&#32455;有限公司,岡山,,唐木,5G63BFQ ,婦人アンクル丈1P,25オレンジ、N0ホワイト、N9ブラック,しまむら,合格,合格,,
61026003964,2026-02-10,2026-02-13,嘉?市?仁&#38024;&#32455;有限公司,岡山,,唐木,5G63AFQ ,婦人アンクル丈1P刺繍,A-1 オレンジ、A-1 オレンジ刺繍、A-1 オレンジ本体、A-2 N0ホワイト、A-2 N0ホワイト/A-3 N9ブラック共通刺繍、A-2 N0ホワイト本体、A-3 N9ブラック、A-3 N9ブラック本体,しまむら,合格,合格,,
61026003993,2026-02-10,2026-02-13,江?嘉晟&#36827;出口&#36152;易有限公司,岡山,,唐木,5G6A38R ,アンクル3P,25オレンジ、55グリーン、83パープル,しまむら,合格,合格,,
61026003968,2026-02-10,2026-02-12,?家港市佳怡&#31166;服&#39280;有限公司,岡山,,田中,A4637ER   A4631MR ,,03ピンク、15ブラウン、57カーキ、N9ブラック,しまむら,合格,,,
61526004069,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,G5633UR ,,製品,しまむら,,合格,,
61526004041,2026-02-10,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5631ER ,丸首半袖T,N0ホワイト,しまむら,,合格,,
Q2726002438,2026-02-10,2026-02-13,青&#23707;伊美瑛国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y4625MR ,パンツ,15本体、白シックテープ、紺刺繍、黄刺繍、黒ゴム、ブルー刺繍,しまむら,合格,合格,,
61526003909,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5633BZ ,Tシャツ,10オフホワイト、35イエロー,しまむら,,合格,,
61526003966,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5633YR ,,製品,しまむら,,合格,,
61526003904,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5634QZ ,,製品、ブラックテープ,しまむら,合格,合格,,
61526003884,2026-02-09,2026-02-09,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5632DR  E5631YR  E5631ER  E5632UR  E5630UR  E4630UR  E4631UR  E5631UR ,生地(丸首半袖T/半袖Tシャツ/ショートパンツ),05レッドPT本体、63サックスPT本体、63サックス無地本体、63サックスリブ、N0ホワイト無地本体、N8クロ無地本体、N8クロリブ,しまむら,合格,,,
61526003900,2026-02-09,2026-02-12,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田,C5630RA/C5631RA/C5632RA ,生地(半袖Tシャツ),68ダークブルー天竺、68ダークブルーリブ、N0ホワイト天竺、N0ホワイトリブ、N9ブラック天竺、N9ブラックリブ,しまむら,合格,,,
Q2726002553,2026-02-09,2026-02-12,&#35832;城方利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9N62BHR ,カップ付きノースリーブ,10製品、67製品、N9製品、N9身生地、白マーキー、黒カップ下バインダー、黒マーキー、ベージュカップ下バインダー,しまむら,合格,合格,,
61526003991,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,RT631QZ ,半袖ロンパース,05レッド、53モスグリーン、N3グレー,しまむら,,合格,,
61526003993,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,R4632BR ,レギンス,10オフホワイト,しまむら,,合格,,
61026003530,2026-02-09,2026-02-11,上海昊客商&#36152;有限公司,,,?山,G5631HR ,半袖Tシャツ,63サックス、63サックスリブ,しまむら,合格,合格,,
Q2726002447,2026-02-09,2026-02-11,大?程?国&#38469;&#36152;易有限公司（帛来）,婦人ナイティー,,婦人ナイティー,306370R/306350R ,パジャマ,63,しまむら,合格,,,
Q2726002497,2026-02-09,2026-02-11,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,92620MR/9L6204R/9L6214R/9L620ER ,生地,67クロッチ、N3クロッチ、N9クロッチ,しまむら,合格,,,
Q2726002506,2026-02-09,2026-02-11,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,6663ZYR ,パジャマ,13、15、63,しまむら,合格,,,
Q2726002451,2026-02-09,2026-02-24,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,Z5531TR ,紳士シャツ,67ネイビー
リブ、67ネイビー本体、67ネイビー製品、白刺繍,しまむら,合格,合格,,
61526003859,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5620LR ,長袖Tシャツ,13アイボリーリブ、55グリーンリブ、製品,しまむら,合格,合格,,
61526003855,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5632YR ,半袖Tシャツ,N9ブラック,しまむら,,合格,,
Q2726002507,2026-02-09,2026-02-11,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,76636SR/76637SR/7663WJR ,パジャマ,02-1、13総柄、63-2、63総柄、83-6、83総柄,しまむら,合格,,,
Q2726002508,2026-02-09,2026-02-11,&#36797;&#23425;成大国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,X5631WR ,侍JAPAN 総柄半袖Tシャツ,67,しまむら,合格,,,
61026003699,2026-02-09,2026-02-11,泉州市&#21326;信?瑞包袋有限公司,岡山,,高木,1T6201R ,,ブラック内側バインダー、ブラック外側バインダー、ブラック把手(太)、ブラック把手(細)、ブラック系引き手、ブラック表地(内容物と接触)、ブラック裏地,しまむら,合格,,,
61026003704,2026-02-09,2026-02-11,&#19996;莞市三越帽袋有限公司,岡山,,高木,1C617ER ,生地(オーバーダイ加工キャップ),65ブルー,しまむら,合格,,,
61026003856,2026-02-09,2026-02-11,?家港市佳怡&#31166;服&#39280;有限公司,岡山,,田中,A4638ER ,生地(ショートパンツ),14ベージュ、N9ブラック,しまむら,合格,,,
61026003811,2026-02-09,2026-02-11,如皋帝晨服&#39280;有限公司,岡山,,伊藤,216218R ,パジャマ,54エメグリーン背首テープ、N3グレー、N7チャコール、N7チャコール本体、N7チャコールリブ、N9ブラック(柄)本体、N9ブラック本体、N9ブラックスピンドル紐,しまむら,合格,合格,,
61026003802,2026-02-09,2026-02-11,如皋帝晨服&#39280;有限公司,岡山,,,216211R/21621PR/216218R/216318R(216318シ)/216328R(216328シ)/246218R(246218シ)/246228R(246228シ) ,,54エメグリーンPTテープ、N9ブラックPT紐、黒ワッペン、グレーテープ、ネイビー紐、ネイビーテープ、ブラック紐、ブラックテープ,しまむら,合格,,,
61526003861,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5631YR ,,製品,しまむら,,合格,,
61526003902,2026-02-09,2026-02-11,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5635QZ ,,製品、ブラックテープ,しまむら,合格,合格,,
Q2726002565,2026-02-09,2026-02-12,&#35832;城方利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,92621CR ,ショーツ,黒×白ゴム、黒×紫製品、黒×ピンク製品、黒本体,しまむら,合格,合格,,
