"品番","納入先","合格色","不合格色","工場名","発行番号","生地合否判定","合否判定","受付日","製品合否判定","部署","共有メモ","共有チェック"
"Z4630TR","㈱しまむら","1","","","DL-26-010380","合格","合格","2026/04/27","合格(追試:合格)","","","0"
"C9630ZR","㈱しまむら","1","","","DL-26-010488","合格","合格","2026/04/28","合格(追試:合格)","","","0"
"HY1029F/CL-150113","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-010537","合格","合格","2026/04/28","","","","0"
"C4631VA","㈱しまむら","2","","","DL-26-010553","合格","合格","2026/04/28","合格(追試:合格)","","","0"
"X4634WR","㈱しまむら","1","","","DL-26-010089-1","合格","合格","2026/04/28","","","","0"
"Z4630ZR","㈱しまむら","1","","","DL-26-010093-1","合格","合格","2026/04/28","","","","0"
"Z4631ZR","㈱しまむら","1","","","DL-26-010408","合格","合格","2026/04/27","合格(追試:合格)","","","0"
"EM630QZ","㈱しまむら","2","","","DL-26-010239","合格","合格","2026/04/24","合格","","","0"
"ER630QZ","㈱しまむら","","","","DL-26-010263","","合格","2026/04/24","合格","","","0"
"C5638RR","㈱しまむら","","","","DL-26-010279","","合格","2026/04/24","合格","","","0"
"C4630MA(リピート)","㈱しまむら","4","","","DL-26-010285","合格","合格","2026/04/24","合格(追試:合格)〈コメント有〉","","","0"
"C5637RR","㈱しまむら","","","","DL-26-010290","","合格","2026/04/24","合格〈コメント有〉","","","0"
"416508R/416518R/416528R/416538R/416548R/416488R/416498R","㈱しまむら","8","","","DL-26-010356","合格","合格","2026/04/27","","","","0"
"X4632WR","㈱しまむら","1","","","DL-26-010090-1","合格","合格","2026/04/22","","","","0"
"C5639RR","㈱しまむら","","","","DL-26-010173","","合格","2026/04/23","合格","","","0"
"4363G8R","㈱しまむら","1","","","DL-26-010224","合格","合格","2026/04/24","合格(追試:合格)","","","0"
"XR630MA","㈱しまむら","","","","DL-26-009150","","合格","2026/04/21","合格(追試:合格)","","","0"
"4063E8R","㈱しまむら","","","","DL-26-010028","","合格","2026/04/22","合格(追試:合格)","","","0"
"4363D8R","㈱しまむら","","","","DL-26-010036","","合格","2026/04/22","合格(追試:合格)","","","0"
"4363E8R","㈱しまむら","","","","DL-26-010039","","合格","2026/04/22","合格(追試:合格)","","","0"
"4063D8R","㈱しまむら","","","","DL-26-010043","","合格","2026/04/22","合格(追試:合格)","","","0"
"4363DHR","㈱しまむら","1","","","DL-26-010052","合格","合格","2026/04/22","合格(追試:合格)","","","0"
"Z4631ZR","㈱しまむら","1","","","DL-26-010096-1","合格","合格","2026/04/22","","","","0"
"C4631VA/C4638MA/C4639MA","㈱しまむら","2","","","DL-26-009678-1","合格","合格","2026/04/21","","","","0"
"X4631QR","㈱しまむら","2","","","DL-26-009724","合格","合格","2026/04/20","合格(追試:合格)","","","0"
"C5631HA","㈱しまむら","","","","DL-26-009924","","合格","2026/04/21","合格(追試:合格)","","","0"
"C5631DA","㈱しまむら","","","","DL-26-009929","","合格","2026/04/21","合格(追試:合格)","","","0"
"4363F8R","㈱しまむら","","","","DL-26-010001","","合格","2026/04/22","合格(追試:合格)","","","0"
"30631LR","㈱しまむら","2","","","DL-26-010012","合格","合格","2026/04/22","合格(追試:合格)","","","0"
"30630LR","㈱しまむら","2","","","DL-26-010015","合格","合格","2026/04/22","合格(追試:合格)","","","0"
"EM631QZ","㈱しまむら","2","","","DL-26-009716","合格","合格","2026/04/20","合格","","","0"
"X4630QR","㈱しまむら","2","","","DL-26-009744","合格","合格","2026/04/20","合格(追試:合格)","","","0"
"X6624RR","㈱しまむら","","","","DL-26-009612","","合格","2026/04/17","合格(追試:合格)","","","0"
